fork,upstream,vuln_id,head_swh,fix_urls,manual evaluation,Owner notification,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-2206,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/e178af5a586ea023622d460779fdcabbbfac0908/,POSITIVE,,,,,
https://github.com/Snapchat/KeyDB,https://github.com/redis/redis,CVE-2021-21309,https://archive.softwareheritage.org/browse/revision/603ebb27fb82a27fb98b0feb6749b0f7661a1c4b,https://archive.softwareheritage.org/browse/revision/c992857618db99776917f10bf4f2345a5fdc78b0/,NEGATIVE,,,,,
https://github.com/felipec/git,https://github.com/git/git,CVE-2023-25652,https://archive.softwareheritage.org/browse/revision/096519100ffe2031c6d2eb94b8e0b98aac837642,https://archive.softwareheritage.org/browse/revision/18e2b1cfc80990719275d7b08e6e50f3e8cbc902/ https://archive.softwareheritage.org/browse/revision/668f2d53613ac8fd373926ebe219f2c29112d93e/,POSITIVE,,Sent,,,
https://github.com/gitster/git,https://github.com/git/git,CVE-2023-25652,https://archive.softwareheritage.org/browse/revision/514c09109d03fb49eee2a86e870c78d10e2dd22d,https://archive.softwareheritage.org/browse/revision/18e2b1cfc80990719275d7b08e6e50f3e8cbc902/ https://archive.softwareheritage.org/browse/revision/668f2d53613ac8fd373926ebe219f2c29112d93e/,NEGATIVE,,,,,
https://github.com/git-for-windows/git,https://github.com/git/git,CVE-2023-25652,https://archive.softwareheritage.org/browse/revision/038f69e761e30c0313f90e0e86b48836896e3b35,https://archive.softwareheritage.org/browse/revision/18e2b1cfc80990719275d7b08e6e50f3e8cbc902/ https://archive.softwareheritage.org/browse/revision/668f2d53613ac8fd373926ebe219f2c29112d93e/,NEGATIVE,,,,,
https://github.com/cloudflare/zlib,https://github.com/madler/zlib,CVE-2016-9842,https://archive.softwareheritage.org/browse/revision/7aa510344e06fecd6fe09195ac22e9a424ceb660,https://archive.softwareheritage.org/browse/revision/e54e1299404101a5a9d0cf5e45512b543967f958/,NEGATIVE,,,,,
https://github.com/Snapchat/KeyDB,https://github.com/redis/redis,CVE-2021-32762,https://archive.softwareheritage.org/browse/revision/603ebb27fb82a27fb98b0feb6749b0f7661a1c4b,https://archive.softwareheritage.org/browse/revision/0215324a66af949be39b34be2d55143232c1cb71/,NEGATIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-1886,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/2a585c85013be22f59f184d49612074fd9b115d7/,POSITIVE,,,,,
https://github.com/expo/react-native,https://github.com/facebook/react-native,CVE-2020-1920,https://archive.softwareheritage.org/browse/revision/ab29e8327a43c19b88b223e9299168d45b0ac44c,https://archive.softwareheritage.org/browse/revision/ca09ae82715e33c9ac77b3fa55495cf84ba891c7/,NEGATIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-2343,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/caea66442d86e7bbba3bf3dc202c3c0d549b9853/,POSITIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-1796,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/28d032cc688ccfda18c5bbcab8b50aba6e18cde5/,POSITIVE,,,,,
https://github.com/gitster/git,https://github.com/git/git,CVE-2023-29007,https://archive.softwareheritage.org/browse/revision/514c09109d03fb49eee2a86e870c78d10e2dd22d,https://archive.softwareheritage.org/browse/revision/528290f8c61222433a8cf02fb7cfffa8438432b4/,NEGATIVE,,,,,
https://github.com/git-for-windows/git,https://github.com/git/git,CVE-2023-29007,https://archive.softwareheritage.org/browse/revision/038f69e761e30c0313f90e0e86b48836896e3b35,https://archive.softwareheritage.org/browse/revision/528290f8c61222433a8cf02fb7cfffa8438432b4/,NEGATIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-1616,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/d88934406c5375d88f8f1b65331c9f0cab68cc6c/,POSITIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-2849,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/f6d39c31d2177549a986d170e192d8351bd571e2/,POSITIVE,,,,,
https://github.com/git-for-windows/git,https://github.com/git/git,CVE-2024-32002,https://archive.softwareheritage.org/browse/revision/f091e41a5a4c2716a65a2e5f188e515238060ff8,https://archive.softwareheritage.org/browse/revision/97065761333fd62db1912d81b489db938d8c991d/,NEGATIVE,,,,,
https://github.com/gitster/git,https://github.com/git/git,CVE-2024-32002,https://archive.softwareheritage.org/browse/revision/514c09109d03fb49eee2a86e870c78d10e2dd22d,https://archive.softwareheritage.org/browse/revision/97065761333fd62db1912d81b489db938d8c991d/,NEGATIVE,,,,,
